AÑO DEL REPORTE DE INFORMACION;PERIODO DE LA INFORMACION REMITIDA;FECHA DE REPORTE DE LA INFORMACIÓN;CODIGO DE LA ENTIDAD (ENT001);PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;CODIGO DE LA LINEA DE INTERVENCION (LIN001);NOMBRE DE LA LINEA DE INTERVENCIÓN (ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA);CODIGO DEL SERVICIO;NOMBRE DEL SERVICIO (SERVICIO DE ATENCIÓN URGENTE);UBIGEO DE LA UBICACIÓN GEOGRÁFICA DEL LUGAR DE RESIDENCIA DE LA USUARIA  - SEGÚN EL INEI;DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO POBLADO;ÁREA DE RESIDENCIA;CODIGO DEL CENTRO ATENCION;NOMBRE DEL CENTRO DE ATENCIÓN;N° CASOS ATENDIDOS -TOTAL;N° CASOS ATENDIDOS - HOMBRES - TOTAL;N° CASOS ATENDIDOS - MUJERES - TOTAL;N° CASOS ATENDIDOS - 0_5 - TOTAL;N° CASOS ATENDIDOS - 0_5 - HOMBRES;N° CASOS ATENDIDOS - 0_5 - MUJERES;N° CASOS ATENDIDOS - 6_11 - TOTAL;N° CASOS ATENDIDOS - 6_11 - HOMBRES;N° CASOS ATENDIDOS - 6_11 - MUJERES;N° CASOS ATENDIDOS - 12_14 - TOTAL;N° CASOS ATENDIDOS - 12_14 - HOMBRES;N° CASOS ATENDIDOS - 12_14 - MUJERES;N° CASOS ATENDIDOS - 15_17 - TOTAL;N° CASOS ATENDIDOS - 15_17 - HOMBRES;N° CASOS ATENDIDOS - 15_17 - MUJERES;N° CASOS ATENDIDOS - 18_29 - TOTAL;N° CASOS ATENDIDOS - 18_29 - HOMBRES;N° CASOS ATENDIDOS - 18_29 - MUJERES;N° CASOS ATENDIDOS - 30_59 - TOTAL;N° CASOS ATENDIDOS - 30_59 - HOMBRES;N° CASOS ATENDIDOS - 30_59 - MUJERES;N° CASOS ATENDIDOS - 60_MÁS- TOTAL;N° CASOS ATENDIDOS - 60_MÁS - HOMBRES;N° CASOS ATENDIDOS - 60_MÁS - MUJERES;;;;;;;;;;;;;;;;;;;;;;
2019;ENE - DIC;14/1/2020;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;080106;CUSCO;CUSCO;SANTIAGO;SANTIAGO;URBANO;SAU004;CUSCO;154;54;100;36;26;10;39;19;20;24;3;21;9;5;4;16;0;16;17;0;17;13;1;12;;;;;;;;;;;;;;;;;;;;;;
2019;ENE - DIC;14/1/2020;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;050101;AYACUCHO;HUAMANGA;AYACUCHO;AYACUCHO;URBANO;SAU005;AYACUCHO;85;9;76;12;6;6;12;3;9;12;0;12;10;0;10;22;0;22;16;0;16;1;0;1;;;;;;;;;;;;;;;;;;;;;;
2019;ENE - DIC;14/1/2020;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;100102;HUANUCO;HUANUCO;AMARILIS;PAUCARBAMBA;URBANO;SAU006;HUANUCO;105;16;89;7;3;4;14;9;5;12;1;11;11;1;10;28;1;27;30;0;30;3;1;2;;;;;;;;;;;;;;;;;;;;;;
2019;ENE - DIC;14/1/2020;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;130102;LA LIBERTAD;TRUJILLO;EL PORVENIR;EL PORVENIR;URBANO;SAU007;LA LIBERTAD;180;46;134;27;17;10;51;20;31;26;3;23;12;0;12;26;0;26;19;1;18;19;5;14;;;;;;;;;;;;;;;;;;;;;;
2019;ENE - DIC;14/1/2020;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;210101;PUNO;PUNO;PUNO;PUNO;URBANO;SAU008;PUNO;90;19;71;9;7;2;16;9;7;13;1;12;4;1;3;21;0;21;25;1;24;2;0;2;;;;;;;;;;;;;;;;;;;;;;
2020;ENE - DIC;15/012021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;040101;AREQUIPA;AREQUIPA;AREQUIPA;AREQUIPA;URBANO;SAU002;AREQUIPA;533;150;383;102;54;48;136;61;75;72;13;59;60;15;45;69;2;67;78;0;78;16;5;11;;;;;;;;;;;;;;;;;;;;;;
2020;ENE - DIC;15/012021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;050101;AYACUCHO;HUAMANGA;AYACUCHO;AYACUCHO;URBANO;SAU005;AYACUCHO;507;110;397;68;40;28;97;39;58;64;13;51;49;10;39;100;4;96;116;3;113;13;1;12;;;;;;;;;;;;;;;;;;;;;;
2020;ENE - DIC;15/012021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;080106;CUSCO;CUSCO;SANTIAGO;SANTIAGO;URBANO;SAU004;CUSCO;585;128;457;69;42;27;105;48;57;66;14;52;56;9;47;99;8;91;161;3;158;29;4;25;;;;;;;;;;;;;;;;;;;;;;
2020;ENE - DIC;15/012021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;100102;HUANUCO;HUANUCO;AMARILIS;PAUCARBAMBA;URBANO;SAU006;HUANUCO;652;83;569;48;23;25;69;27;42;79;8;71;70;9;61;157;3;154;205;8;197;24;5;19;;;;;;;;;;;;;;;;;;;;;;
2020;ENE - DIC;15/012021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;130102;LA LIBERTAD;TRUJILLO;EL PORVENIR;EL PORVENIR;URBANO;SAU007;LA LIBERTAD;545;141;404;76;45;31;134;44;90;74;21;53;51;5;46;82;5;77;92;7;85;36;14;22;;;;;;;;;;;;;;;;;;;;;;
2020;ENE - DIC;15/012021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;150121;LIMA;LIMA;PUEBLO LIBRE;PUEBLO LIBRE;URBANO;SAU001;LIMA;2 840;753;2 087;533;269;264;792;308;484;416;89;327;272;45;227;378;7;371;352;5;347;97;30;67;;;;;;;;;;;;;;;;;;;;;;
2020;ENE - DIC;15/012021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;170101;MADRE DE DIOS;MADRE DE DIOS;TAMBOPATA;PUERTO MALDONADO;URBANO;SAU003;MADRE DE DIOS;221;30;191;16;6;10;41;14;27;33;4;29;22;2;20;56;3;53;51;1;50;2;0;2;;;;;;;;;;;;;;;;;;;;;;
2020;ENE - DIC;15/012021;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER003;SERVICIO DE ATENCIÓN URGENTE;210101;PUNO;PUNO;PUNO;PUNO;URBANO;SAU008;PUNO;428;64;364;12;8;4;41;19;22;41;6;35;27;7;20;97;3;94;173;4;169;37;17;20;;;;;;;;;;;;;;;;;;;;;;
