AÑO;PERIODO;FECHA ENVIO;CODIGO ENTIDAD;ENTIDAD;CODIGO LINEA;LINEA INTERVENCION;CODIGO SERVICIO;NOMBRE SERVICIO;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;CODIGO CENTRO ATENCION;NOMBRE CENTRO ATENCION;N° DE CEM;N° DE PERSONAS INFORMADAS Y SENSIBILIZADAS - TOTAL;N° DE PERSONAS INFORMADAS Y SENSIBILIZADAS - HOMBRES;N° DE PERSONAS INFORMADAS Y SENSIBILIZADAS - MUJERES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 0_5 - TOTAL;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 0_5 - HOMBRES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 0_5 - MUJERES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 6_11 - TOTAL;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 6_11 - HOMBRES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 6_11 - MUJERES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 12_17 - TOTAL;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 12_17 - HOMBRES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 12_17 - MUJERES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 18_29 - TOTAL;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 18_29 - HOMBRES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 18_29 - MUJERES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 30_59 - TOTAL;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 30_59 - HOMBRES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 30_59 - MUJERES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 60_MÁS - TOTAL;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 60_MÁS - HOMBRES;N° DE PERSONAS INFORMAS Y SENSIBILIZADAS - 60_MÁS - MUJERES;N° DE ACCIONES PREVENTIVAS  PROMOCIONALES - TOTAL;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;030601;APURÍMAC;CHINCHEROS;CHINCHEROS;CEM021;CHINCHEROS;1;5,703;;;0;0;0;63;31;32;;;;586;149;437;964;195;769;;;;60;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;040501;AREQUIPA;CAYLLOMA;CHIVAY;CEM022;CHIVAY;1;5,185;;;0;0;0;194;101;93;;;;178;48;130;602;113;489;;;;90;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;130203;LA LIBERTAD;ASCOPE;CHOCOPE;CEM023;CHOCOPE;1;4,240;;;1;1;0;35;19;16;;;;171;68;103;426;15;411;;;;124;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;060401;CAJAMARCA;CHOTA;CHOTA;CEM024;CHOTA;1;4,376;;;0;0;0;0;0;0;;;;411;41;370;1296;179;1117;;;;182;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;200401;PIURA;MORROPÓN;CHULUCANAS;CEM025;CHULUCANAS;1;5,212;;;0;0;0;113;0;113;;;;405;3;402;3160;635;2525;;;;123;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;080701;CUSCO;CHUMBIVILCAS;SANTO TOMÁS;CEM026;CHUMBIVILCAS;1;3,353;;;0;0;0;12;6;6;;;;711;274;437;1007;364;643;;;;58;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;030701;APURÍMAC;GRAU;CHUQUIBAMBILLA;CEM027;CHUQUIBAMBILLA;1;6,602;;;0;0;0;81;46;35;;;;500;148;352;1380;209;1171;;;;136;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;090501;HUANCAVELICA;CHURCAMPA;CHURCAMPA;CEM028;CHURCAMPA;1;5,093;;;0;0;0;0;0;0;;;;355;44;311;1427;90;1337;;;;140;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;150110;LIMA METROPOLITANA;LIMA;COMAS;CEM029;COMAS;1;10,644;;;0;0;0;13;1;12;;;;335;73;262;1637;383;1254;;;;115;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;120201;JUNÍN;CONCEPCIÓN;CONCEPCIÓN;CEM030;CONCEPCION;1;5,373;;;0;0;0;37;29;8;;;;370;115;255;930;176;754;;;;125;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;080108;CUSCO;CUSCO;WANCHAQ;CEM031;CUSCO;1;16,777;;;0;0;0;299;124;175;;;;1026;344;682;1317;445;872;;;;242;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;150111;LIMA METROPOLITANA;LIMA;EL AGUSTINO;CEM032;EL AGUSTINO;1;3,374;;;0;0;0;75;38;37;;;;61;24;37;2931;319;2612;;;;79;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;080801;CUSCO;ESPINAR;ESPINAR;CEM033;ESPINAR;1;4,841;;;0;0;0;5;3;2;;;;329;109;220;1704;314;1390;;;;144;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;140201;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;CEM034;FERREÑAFE;1;8,441;;;0;0;0;118;56;62;;;;191;31;160;1004;276;728;;;;147;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;150801;LIMA PROVINCIAS;HUAURA;HUACHO;CEM035;HUACHO;1;1,936;;;0;0;0;100;45;55;;;;643;143;500;736;139;597;;;;94;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;130901;LA LIBERTAD;SÁNCHEZ CARRIÓN;HUAMACHUCO;CEM036;HUAMACHUCO;1;7,150;;;0;0;0;177;99;78;;;;745;78;667;1335;217;1118;;;;102;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;050301;AYACUCHO;HUANCA SANCOS;SANCOS;CEM037;HUANCASANCOS;1;3,913;;;11;6;5;27;11;16;;;;550;204;346;543;194;349;;;;134;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;090101;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;CEM038;HUANCAVELICA;1;14,355;;;0;0;0;97;47;50;;;;1054;263;791;2004;619;1385;;;;218;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;120101;JUNÍN;HUANCAYO;HUANCAYO;CEM039;HUANCAYO;1;15,980;;;70;37;33;138;74;64;;;;1555;584;971;2569;919;1650;;;;324;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;050401;AYACUCHO;HUANTA;HUANTA;CEM040;HUANTA;1;7,129;;;27;19;8;617;248;369;;;;58;25;33;2031;332;1699;;;;137;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;100102;HUÁNUCO;HUÁNUCO;AMARILIS;CEM041;HUANUCO;1;6,373;;;0;0;0;26;12;14;;;;1089;327;762;1697;345;1352;;;;205;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;020101;ÁNCASH;HUARAZ;HUARAZ;CEM042;HUARAZ;1;3,367;;;0;0;0;80;31;49;;;;706;192;514;676;165;511;;;;97;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;021101;ÁNCASH;HUARMEY;HUARMEY;CEM043;HUARMEY;1;4,128;;;48;28;20;178;98;80;;;;127;56;71;350;76;274;;;;169;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;150701;LIMA PROVINCIAS;HUAROCHIRÍ;MATUCANA;CEM044;HUAROCHIRI;1;7,055;;;6;2;4;95;46;49;;;;486;49;437;1493;358;1135;;;;233;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;150103;LIMA METROPOLITANA;LIMA;ATE;CEM045;HUAYCAN;1;8,684;;;0;0;0;120;60;60;;;;168;18;150;1143;82;1061;;;;142;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;170204;MADRE DE DIOS;MANU;HUEPETUHE;CEM046;HUEPETUHE;1;5,166;;;47;26;21;125;54;71;;;;832;46;786;484;33;451;;;;88;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;170302;MADRE DE DIOS;TAHUAMANU;IBERIA;CEM047;IBERIA;1;2,483;;;1;0;1;7;2;5;;;;215;97;118;482;174;308;;;;99;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;110101;ICA;ICA;ICA;CEM048;ICA;1;8,962;;;4;2;2;42;21;21;;;;500;223;277;1105;152;953;;;;227;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;210501;PUNO;EL COLLAO;ILAVE;CEM049;ILAVE;1;3,695;;;0;0;0;0;0;0;;;;350;67;283;1487;338;1149;;;;84;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;150112;LIMA METROPOLITANA;LIMA;INDEPENDENCIA                                           ;CEM050;INDEPENDENCIA;1;10,199;;;0;0;0;110;60;50;;;;813;436;377;1938;577;1361;;;;210;;
2013;ENE - DIC;5/01/2014;ENT001;PROGRAMA NACIONAL CONTRA LA VIOLENCIA FAMILIAR Y SEXUAL;LIN001;ATENCIÓN INTEGRAL Y MULTIDISCIPLINARIA PARA VICTIMAS DE VIOLENCIA;SER001;CENTRO EMERGENCIA MUJER;160108;LORETO;MAYNAS;PUNCHANA;CEM051;IQUITOS;1;2,361;;;0;0;0;44;21;23;;;;536;106;430;1146;285;861;;;;73;;
